Id;u_min;u_max;u_mean;sentiment;Cat;Label
p201;-2;22;8.2;0.0;pid;p201
p2010;2;2;2.0;1.0;pid;p2010
p2011;2;2;2.0;1.0;pid;p2011
p2012;1;1;1.0;0.0;pid;p2012
p2013;1;1;1.0;2.0;pid;p2013
p2014;1;1;1.0;2.0;pid;p2014
p2015;6;6;6.0;1.0;pid;p2015
p2016;13;13;13.0;2.0;pid;p2016
p2017;0;12;5.25;0.0;pid;p2017
p2018;1;2;1.67;2.0;pid;p2018
p2019;0;2;1.0;;pid;p2019
p202;3;3;3.0;0.0;pid;p202
p2020;-4;293;28.87;1.0;pid;p2020
p2021;-2;-2;-2.0;;pid;p2021
p2022;2;2;2.0;;pid;p2022
p2023;1;3;1.67;;pid;p2023
p2024;1;1;1.0;1.0;pid;p2024
p2025;0;3;1.33;;pid;p2025
p2026;1;1;1.0;;pid;p2026
p2027;1;1;1.0;;pid;p2027
p2028;1;17;9.0;2.0;pid;p2028
p2029;1;1;1.0;2.0;pid;p2029
p203;-8;1;-3.5;0.0;pid;p203
p2030;2;2;2.0;2.0;pid;p2030
p2031;0;41;15.0;0.0;pid;p2031
p2032;-3;9;2.0;;pid;p2032
p2033;1;1;1.0;;pid;p2033
p2034;1;1;1.0;;pid;p2034
p2035;1;1;1.0;;pid;p2035
p2036;1;1;1.0;;pid;p2036
p2037;1;1;1.0;;pid;p2037
p2038;1;13;5.67;0.0;pid;p2038
p2039;0;4;2.4;0.0;pid;p2039
p204;1;1;1.0;;pid;p204
p2040;1;1;1.0;;pid;p2040
p2041;1;3;2.0;2.0;pid;p2041
p2042;2;3;2.5;;pid;p2042
p2043;1;1;1.0;;pid;p2043
p2044;-13;125;27.44;;pid;p2044
p2045;3;3;3.0;;pid;p2045
p2046;0;1;0.33;;pid;p2046
p2047;-2;7;2.0;;pid;p2047
p2048;7;7;7.0;;pid;p2048
p2049;2;2;2.0;;pid;p2049
p205;37;37;37.0;;pid;p205
p2050;1;5;2.5;;pid;p2050
p2051;1;6;3.5;;pid;p2051
p2052;1;1;1.0;;pid;p2052
p2053;3;3;3.0;;pid;p2053
p2054;1;1;1.0;;pid;p2054
p2055;1;1;1.0;;pid;p2055
p2056;1;1;1.0;;pid;p2056
p2057;1;1;1.0;;pid;p2057
p2058;0;0;0.0;0.0;pid;p2058
p2059;1;1;1.0;0.0;pid;p2059
p206;2;2;2.0;1.0;pid;p206
p2060;3;5;4.0;0.0;pid;p2060
p2061;7;8;7.5;;pid;p2061
p2062;1;3;2.0;1.0;pid;p2062
p2063;1;1;1.0;2.0;pid;p2063
p2064;4;6;5.0;1.0;pid;p2064
p2065;2;2;2.0;1.0;pid;p2065
